Dataset_Short,Naive,Theta,Simple Exponential Smoothing,AutoARIMA,DeepAR,NBEATS,NHITS,DLinear,NLinear,VanillaTransformer,TiDE,KAN
BHC Cash Liquidity,1.2026361766670135,1.150586181437344,1.1455007654211768,1.1818356393543574,1.4162363882962117,1.1556873178601166,1.1683284220614765,1.4594595107375798,1.2502370257858035,1.18223732284728,1.351536344495906,1.1645354674056343
BHC Leverage,0.8997265733416597,0.9538367549611436,0.902584502606335,0.9491944240259852,1.9428031978559532,0.8650844890542604,0.8719108045812517,1.2577264443259089,0.9998419828094643,0.8288496971924438,0.963744541224327,0.9007439953467596
Bank Cash Liquidity,1.5320264609589336,1.4743570293745714,1.4596185043188443,1.5308382429376717,1.7940844626093106,1.4785454309199246,1.4796638227130487,1.7618026419431585,1.59785501194916,1.480834626039523,1.6617508667159635,1.5231561856995883
Bank Leverage,0.8852479484416446,0.8516409876492043,0.8663728344661804,0.9221952537853668,3.663258109526968,0.8426696507515473,0.831954575596817,1.3618729622568524,0.9812278956675508,0.8589156443412909,1.1436576107979664,0.8764372996794871
CDS Contract Returns,0.284841689105812,0.2654804884140461,0.2762331144580282,0.3439710609084891,0.809178499995914,0.2734516095915599,0.2661998860506832,0.2960929072551647,0.289495715536333,0.2495746851964974,0.3060143442832276,0.2542028706442861
CDS Portfolio Returns,1.0512408018112185,0.7183262705802917,0.6775640845298767,0.6729711294174194,0.6424961090087891,0.6482176184654236,0.6444734930992126,0.647098958492279,0.8001434206962585,0.6982790231704712,0.6468808650970459,0.6668907403945923
CDS-Bond Basis,0.3475887446858436,0.3952540744741055,0.3717431381818684,0.4398136206313494,0.8448800130783458,0.3471650841379334,0.3539969238712593,0.843918871121356,0.3593776958991276,0.5401080775176679,0.6693534177099437,0.4613606483270759
CIP Spreads,0.6015488505363464,0.5786072015762329,0.5830717086791992,0.5282962918281555,1.101659059524536,1.0985674858093262,0.8722585439682007,0.8218756318092346,0.7950551509857178,0.8973603844642639,0.8531859517097473,2.194047689437866
CRSP Stock Returns,1.6691223748839727,1.6510478104695234,1.6403440972759384,1.565682792034086,1.4820112473893874,1.685123859065594,1.7206688808529291,1.6602330978947504,1.436491308432601,1.4618659192579415,1.5571157121815695,1.5055364728367369
CRSP Stock Returns (ex-div),1.669747229849938,1.6513469431659964,1.6405029296875,1.5677117577480404,1.474676251804868,1.7281457882116336,1.7498380453279705,1.6519899273862932,1.426551541872937,1.4649497054197609,1.5223347377462355,1.5153961685231023
Commodity Returns,0.8587537407875061,0.8655344843864441,0.8577845096588135,0.7087394595146179,5.998885154724121,0.7878775596618652,0.9246599674224854,1.0303114652633667,0.9728205800056458,1.004608988761902,1.2085793018341064,0.9485786557197572
Corporate Bond Returns,1.842301209040932,1.0079227433390483,1.1135194904270085,1.3424187877612672,1.1063334745128457,1.6972334131082625,1.6475963762791204,1.4998044961422272,1.671045464055356,1.4062337345893208,1.191074882123612,1.4873049001197474
Corporate Portfolio Returns,1.1871681213378906,1.1494771242141724,1.1516605615615845,1.1613551378250122,1.1891863346099854,1.1948740482330322,1.1817106008529663,1.155612230300903,1.1688861846923828,1.1878339052200315,1.1370666027069092,1.2045005559921265
FF25 Size-BM Returns,1.1659526824951172,0.98913311958313,0.9907267689704896,0.9874775409698486,1.020744562149048,0.9913501143455504,0.9955217242240906,0.99228698015213,0.9901674389839172,,0.991893470287323,0.993034839630127
FX Returns,18.85038185119629,21.01535987854004,18.845535278320312,20.53876495361328,18.28193473815918,20.70191192626953,22.20305061340332,19.75233268737793,20.022315979003903,20.074567794799805,19.320220947265625,21.69045066833496
HKM All Factor Returns,4.5410237312316895,4.926681518554688,4.483780384063721,4.519365310668945,4.389683246612549,5.413034915924072,2.8903419971466064,4.235925674438477,4.43591833114624,4.374040126800537,4.238025188446045,5.219022750854492
HKM Daily Factor Returns,4.927886486053467,7.431689739227295,4.920056343078613,4.9132280349731445,5.148476123809815,4.883408546447754,5.130943775177002,5.015681266784668,4.952381134033203,6.036268711090088,4.993596076965332,5.151834011077881
HKM Monthly Factor Returns,11.512373924255373,10.7132568359375,11.006821632385254,10.95660400390625,6.383307933807373,14.591306686401367,21.98168182373047,3.096684455871582,7.273090839385986,14.811243057250977,2.723586320877075,10.74285888671875
HKM Option Returns,1.352305889129639,1.5112543106079102,1.3512042760849,1.3581162691116333,1.4389666318893433,1.3431048393249512,1.3491290807724,1.3745484352111816,1.3480846881866455,1.346950888633728,1.385445475578308,1.3648685216903689
TIPS-Treasury Basis,0.6517037749290466,0.6755425333976746,0.6510775685310364,0.8397881984710693,3.493931770324707,0.7642855644226074,0.5959709882736206,0.977201759815216,1.930816411972046,0.9129139184951782,0.7996311783790588,1.050431251525879
Treasury Bond Returns,0.3762056827545166,0.3244397342205047,0.3296210467815399,0.416638046503067,0.3875905871391296,0.3133373260498047,0.2787927985191345,0.4539324045181274,0.6149975657463074,0.296047568321228,0.1482431590557098,0.4199269413948059
Treasury Portfolio Returns,0.5855847597122192,0.6189011335372925,0.577343761920929,0.5900980234146118,0.6005879044532776,0.5725584030151367,0.5676962733268738,0.5782968401908875,0.5814697742462158,0.59922856092453,0.5788004398345947,0.5852333903312683
Treasury Yield Curve,8.688116073608398,11.01447582244873,8.689485549926758,16.517881393432617,8.838704109191895,15.729883193969728,17.7762451171875,8.95579719543457,8.740594863891602,,,17.532474517822266
