Dataset_Short,Seasonal Naive,AutoARIMA,DeepAR,NBEATS,NHITS,DLinear,NLinear,VanillaTransformer,TiDE,KAN
BHC Cash Liquidity,1.054018217884958,1.3644850745552044,1.3548220409966203,1.0279372525629455,1.3025097416662483,6.955959352334784,4.963551574076071,2.316336412388961,2.2695010429702283,0.9783413140682035
BHC Leverage,1.0339831782815954,3.5365905285599624,6.0540875231083815,0.9126797005807514,0.9286851921128234,6.1593302655330096,1.4381240170992944,4.931330134782246,2.4640774625635142,0.8077377575517647
Bank Cash Liquidity,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Bank Leverage,1.100682841164145,1.4371004279112507,5.577819722792235,1.042005024160359,1.0590085212087295,5.757725549109104,1.1498451790255093,4.8256452448017635,2.154640310668656,2.6182093595132376
CDS Contract Returns,1.0,1.1283167805749477,1.1286950184842648,1.093480330262322,10.827035761549181,36.53456666354589,31.52360282489163,16.42453819701873,12.53028327357471,1.0344544674735132
CDS Portfolio Returns,1.0,1.603253384637907,10.629074257632888,10.14734862045437,187.0636641576458,842.0619113546862,655.0877468561073,349.9461345064499,278.1052255572891,3.176570205615568
CDS-Bond Basis,0.9343725714909749,1.4690050782397563,1.230230357336398,0.8283957831595102,0.8984229967101137,1.5597039010111267,0.9845795321534903,0.7544002787435277,0.8206815744864215,0.8178734137288001
CIP Spreads,1.0579914519116773,1.1034282025481765,1.6345457905346792,0.9798354490520758,0.9643156203507323,1.6972171399723452,1.091367441464124,1.5222555974521206,1.1169077659585536,0.9345701159743824
CJS Option Returns,1.0,1.1275211767942512,1.3090444893302162,1.009495616837321,2.434607100118158,8.873595615713445,7.322604758678847,8.128643163685705,3.5671782568006996,0.7167375983379483
CRSP Stock Returns,1.0,0.6633512178470774,0.6862272971193123,0.8583206184719853,1.002329953878888,0.9645628219797151,0.42660233132132025,1.6700523832265814,0.555738697554312,0.6738444769364407
CRSP Stock Returns (ex-div),1.0,0.6629604301225296,0.6810135566935915,0.8360729078296523,0.9990494345857454,0.964522763615976,0.4247931358578274,1.6672813681946521,0.5347696565336811,0.6663689482818044
Commodity Returns,1.0,0.9234642525219403,0.9352855022907105,0.958458433160719,1.1664742263897145,3.1371680200512073,2.0954204027883807,2.450350445766419,1.208061722821238,0.9383061359925351
Corporate Bond Returns,1.0,0.8877679875419321,0.8524739215069886,1.010757819640705,1.6389611568268558,9.036182439569693,8.318641490416603,4.600083710012394,4.61200985052704,0.8404605202277032
Corporate Portfolio Returns,1.0,0.9782566739715111,0.973397098091636,1.027951975199946,2.1896237737340503,11.73237679501557,8.216065409419393,4.453286617674939,4.056445186353865,0.996440394557998
FF25 Size-BM Returns,1.0,0.8487681377240122,0.8895079298865524,1.0790610507201923,3.701597837378025,14.384033895255156,11.132495767182784,,5.370338379996564,0.8482870381730588
FX Returns,1.0,1.0,1.0865989566558998,1.0437823262483596,1.0851203613790872,1.0409795417983696,1.0536233375415571,1.0039154999949913,0.9995332402647003,1.108777379890315
HKM All Factor Returns,1.0,0.9952304982654496,4.25036707658767,1.1842361672531456,1.6475381165839234,3.6327463713154913,2.752420111817257,4.615816273009425,1.8451747975500297,0.9327851082255082
HKM Daily Factor Returns,1.0,0.9971889376262697,19.98892140878823,1.521678253876544,4.321967323710123,13.302784346105051,9.340358973371496,16.934400964843384,4.6783691212960195,1.4304173766249777
HKM Monthly Factor Returns,1.0,0.9517241253623483,1.7022624757498983,0.7860280978518255,1.079314099151239,1.6861265852187433,1.6513537270414629,1.8717227104710814,0.6701005392906109,0.48941875885704944
HKM Option Returns,1.0,1.2874635356741257,1.4174602458188335,1.1193966236141086,2.605308514730829,9.914645004162564,8.165987832824573,9.040280452229924,3.9211905115354733,0.7375346043058668
TIPS-Treasury Basis,0.935047501892073,1.6714521745691675,1.6892074329314442,0.9931502157306146,0.9972036190611202,1.7159197075118156,1.0221948046306055,1.538953929452545,1.084979981753786,0.9674175662111211
Treasury Bond Returns,1.0,0.9972631932573381,1.2766119632883275,1.2812716535792965,12.30357061237922,128.20542447871438,59.88824879105609,52.116533964696096,45.434563454700026,1.6636476968361777
Treasury Portfolio Returns,1.0,0.9877774726443592,1.086636628781039,1.3425776544758288,12.48968444341391,63.488442036944036,44.33747285607526,45.313747432180136,22.467314612617745,1.123977325216739
Treasury Yield Curve,1.0276351102890733,1.0,1.5948124893662565,1.1485813076623326,1.2251339440075084,2.7127720180238524,1.0192401881417978,,1.3003273272119558,1.013149838367096
Treasury-SF Basis,1.2525123961030409,1.0,1.3656455968012473,1.2192098817180794,1.1109369327993166,1.3434051461627066,1.0829008819834836,1.3719661553127922,1.300140456855812,1.3353073170601266
Treasury-Swap Basis,0.9953709260037966,1.641431907785052,2.0649877093633378,1.1564798950674995,1.1430908895770884,1.8802844842132167,0.9976088746673012,1.950262000334464,1.407359262197451,1.7027931850915228
