Model,Dataset,Status,Issue_Details,CSV_Exists
naive,ftsfr_tips_treasury_basis,Success,Completed successfully,True
naive,ftsfr_treasury_sf_basis,CSV_But_No_Results,CSV exists but not in assembled results,True
naive,ftsfr_treasury_swap_basis,CSV_But_No_Results,CSV exists but not in assembled results,True
naive,ftsfr_CDS_bond_basis_non_aggregated,Success,Completed successfully,True
naive,ftsfr_CDS_contract_returns,Success,Completed successfully,True
naive,ftsfr_CDS_portfolio_returns,Success,Completed successfully,True
naive,ftsfr_CIP_spreads,Success,Completed successfully,True
naive,ftsfr_commodities_returns,Success,Completed successfully,True
naive,ftsfr_corp_bond_returns,Success,Completed successfully,True
naive,ftsfr_corp_bond_portfolio_returns,Success,Completed successfully,True
naive,ftsfr_treas_bond_returns,Success,Completed successfully,True
naive,ftsfr_treas_bond_portfolio_returns,Success,Completed successfully,True
naive,ftsfr_treas_yield_curve_zero_coupon,Success,Completed successfully,True
naive,ftsfr_FX_returns,Success,Completed successfully,True
naive,ftsfr_he_kelly_manela_factors_monthly,Success,Completed successfully,True
naive,ftsfr_he_kelly_manela_factors_daily,Success,Completed successfully,True
naive,ftsfr_he_kelly_manela_all,Success,Completed successfully,True
naive,ftsfr_french_portfolios_25_daily_size_and_bm,Success,Completed successfully,True
naive,ftsfr_nyu_call_report_leverage,Success,Completed successfully,True
naive,ftsfr_nyu_call_report_holding_company_leverage,Success,Completed successfully,True
naive,ftsfr_nyu_call_report_cash_liquidity,Success,Completed successfully,True
naive,ftsfr_nyu_call_report_holding_company_cash_liquidity,Success,Completed successfully,True
naive,ftsfr_hkm_option_returns,Success,Completed successfully,True
naive,ftsfr_CRSP_monthly_stock_ret,Success,Completed successfully,True
naive,ftsfr_CRSP_monthly_stock_retx,Success,Completed successfully,True
theta,ftsfr_tips_treasury_basis,No_CSV,No CSV file generated,False
theta,ftsfr_treasury_sf_basis,CSV_But_No_Results,CSV exists but not in assembled results,True
theta,ftsfr_treasury_swap_basis,No_CSV,No CSV file generated,False
theta,ftsfr_CDS_bond_basis_non_aggregated,Success,Completed successfully,True
theta,ftsfr_CDS_contract_returns,No_CSV,No CSV file generated,False
theta,ftsfr_CDS_portfolio_returns,No_CSV,No CSV file generated,False
theta,ftsfr_CIP_spreads,No_CSV,No CSV file generated,False
theta,ftsfr_commodities_returns,No_CSV,No CSV file generated,False
theta,ftsfr_corp_bond_returns,No_CSV,No CSV file generated,False
theta,ftsfr_corp_bond_portfolio_returns,No_CSV,No CSV file generated,False
theta,ftsfr_treas_bond_returns,No_CSV,No CSV file generated,False
theta,ftsfr_treas_bond_portfolio_returns,No_CSV,No CSV file generated,False
theta,ftsfr_treas_yield_curve_zero_coupon,No_CSV,No CSV file generated,False
theta,ftsfr_FX_returns,No_CSV,No CSV file generated,False
theta,ftsfr_he_kelly_manela_factors_monthly,No_CSV,No CSV file generated,False
theta,ftsfr_he_kelly_manela_factors_daily,No_CSV,No CSV file generated,False
theta,ftsfr_he_kelly_manela_all,No_CSV,No CSV file generated,False
theta,ftsfr_french_portfolios_25_daily_size_and_bm,No_CSV,No CSV file generated,False
theta,ftsfr_nyu_call_report_leverage,No_CSV,No CSV file generated,False
theta,ftsfr_nyu_call_report_holding_company_leverage,No_CSV,No CSV file generated,False
theta,ftsfr_nyu_call_report_cash_liquidity,No_CSV,No CSV file generated,False
theta,ftsfr_nyu_call_report_holding_company_cash_liquidity,No_CSV,No CSV file generated,False
theta,ftsfr_hkm_option_returns,No_CSV,No CSV file generated,False
theta,ftsfr_CRSP_monthly_stock_ret,No_CSV,No CSV file generated,False
theta,ftsfr_CRSP_monthly_stock_retx,No_CSV,No CSV file generated,False
simple_exponential_smoothing,ftsfr_tips_treasury_basis,No_CSV,No CSV file generated,False
simple_exponential_smoothing,ftsfr_treasury_sf_basis,CSV_But_No_Results,CSV exists but not in assembled results,True
simple_exponential_smoothing,ftsfr_treasury_swap_basis,No_CSV,No CSV file generated,False
simple_exponential_smoothing,ftsfr_CDS_bond_basis_non_aggregated,No_CSV,No CSV file generated,False
simple_exponential_smoothing,ftsfr_CDS_contract_returns,No_CSV,No CSV file generated,False
simple_exponential_smoothing,ftsfr_CDS_portfolio_returns,No_CSV,No CSV file generated,False
simple_exponential_smoothing,ftsfr_CIP_spreads,No_CSV,No CSV file generated,False
simple_exponential_smoothing,ftsfr_commodities_returns,No_CSV,No CSV file generated,False
simple_exponential_smoothing,ftsfr_corp_bond_returns,No_CSV,No CSV file generated,False
