Model,Library,Dataset,Entities,Frequency,Seasonality,Test_Size_h,Global_MASE,Global_sMAPE,Global_MAE,Global_RMSE,Forecast_Time_seconds
AutoARIMA,Statsforecast,ftsfr_CDS_bond_basis_non_aggregated,3314,ME,12,6,0.4398136206313494,0.2431093932716709,1.8290045671402269,1.8944225918715167,8.85379958152771
AutoARIMA,Statsforecast,ftsfr_CDS_contract_returns,6388,ME,1,6,0.3439710609084891,0.5687973469371077,0.0036114663758537,0.0036579699695858,21.710325241088867
AutoARIMA,Statsforecast,ftsfr_CDS_portfolio_returns,20,ME,1,56,0.6729711294174194,0.1269924789667129,0.000474299682537,0.0007012722780928,0.6073834896087646
AutoARIMA,Statsforecast,ftsfr_CIP_spreads,8,ME,12,204,0.5282962918281555,0.2623780965805053,10.733962059020996,13.231834411621094,0.3588881492614746
AutoARIMA,Statsforecast,ftsfr_CRSP_monthly_stock_ret,26474,ME,1,17,1.565682792034086,1.3214605853895935,0.2245350954162799,0.2245350954162799,71.72009015083313
AutoARIMA,Statsforecast,ftsfr_CRSP_monthly_stock_retx,26474,ME,1,17,1.5677117577480404,1.2914740936984324,0.224477484674737,0.2244774594952171,69.25141096115112
AutoARIMA,Statsforecast,ftsfr_FX_returns,9,ME,1,380,20.53876495361328,0.9167980551719666,1.960984706878662,2.4922752380371094,0.3463351726531982
AutoARIMA,Statsforecast,ftsfr_cjs_option_returns,54,D,1,1748,1.2631049156188965,1.0426855087280271,0.0227355286478996,0.038934975862503,1.2945504188537598
AutoARIMA,Statsforecast,ftsfr_commodities_returns,4,ME,1,112,0.7087394595146179,1.0016690492630005,0.0489490926265716,0.0625480115413665,0.2712249755859375
AutoARIMA,Statsforecast,ftsfr_corp_bond_portfolio_returns,10,ME,1,49,1.1613551378250122,2.039844274520874,0.0177727937698364,0.0253801736980676,0.3651747703552246
AutoARIMA,Statsforecast,ftsfr_corp_bond_returns,22146,ME,1,7,1.3424187877612672,2.056211345729915,0.0400669190090984,0.0417844812620342,115.66634583473206
AutoARIMA,Statsforecast,ftsfr_french_portfolios_25_daily_size_and_bm,25,D,1,7232,0.9874775409698486,2.1185927391052246,0.0104417372494935,0.0153391361236572,2.349497079849243
AutoARIMA,Statsforecast,ftsfr_he_kelly_manela_all,4,MS,1,104,4.519365310668945,0.7169531583786011,70.31804656982422,107.5408706665039,0.2849071025848388
AutoARIMA,Statsforecast,ftsfr_he_kelly_manela_factors_daily,4,B,1,1384,4.9132280349731445,0.5592115521430969,18.513341903686523,21.822410583496094,0.4301576614379883
AutoARIMA,Statsforecast,ftsfr_he_kelly_manela_factors_monthly,4,MS,1,118,10.95660400390625,0.8670867681503296,315.785888671875,319.8045654296875,0.2712087631225586
AutoARIMA,Statsforecast,ftsfr_hkm_option_returns,18,D,1,1748,1.3581162691116333,0.6793835163116455,0.0186241492629051,0.0316026322543621,0.7843532562255859
AutoARIMA,Statsforecast,ftsfr_nyu_call_report_cash_liquidity,23816,QE,4,13,1.5308382429376717,0.1901877655740955,0.0328843204409333,0.0386102595283497,133.92351293563843
AutoARIMA,Statsforecast,ftsfr_nyu_call_report_holding_company_cash_liquidity,13279,QE,4,9,1.1818356393543574,0.1705706297540677,0.0244023039577207,0.02762179622179,47.856971740722656
AutoARIMA,Statsforecast,ftsfr_nyu_call_report_holding_company_leverage,13270,QE,4,9,0.9491944240259852,0.0379705627593867,0.7488175137255412,0.8111800279281155,48.10909724235535
AutoARIMA,Statsforecast,ftsfr_nyu_call_report_leverage,22927,QE,4,13,0.9221952537853668,0.0424473230444573,0.7939801958996463,0.915586317418214,117.6562111377716
AutoARIMA,Statsforecast,ftsfr_tips_treasury_basis,4,ME,12,51,0.8397881984710693,0.5231897830963135,13.17318058013916,15.642616271972656,0.4626550674438476
AutoARIMA,Statsforecast,ftsfr_treas_bond_portfolio_returns,10,ME,1,134,0.5900980234146118,3.6452300548553462,0.004794695880264,0.0064325928688049,0.4095168113708496
AutoARIMA,Statsforecast,ftsfr_treas_bond_returns,1951,ME,1,7,0.416638046503067,0.998735249042511,0.0117936702445149,0.0119924610480666,5.01358437538147
AutoARIMA,Statsforecast,ftsfr_treas_yield_curve_zero_coupon,30,B,5,4687,16.517881393432617,0.4948112666606903,1.811900019645691,2.3476710319519043,2.7653255462646484
DLinear,Neuralforecast,ftsfr_CDS_bond_basis_non_aggregated,3314,ME,12,6,0.843918871121356,0.3660949901410728,2.6824684871989453,2.7527875961012143,22.4639790058136
DLinear,Neuralforecast,ftsfr_CDS_contract_returns,6388,ME,1,6,0.2960929072551647,0.2453568749846773,0.0034171417667277,0.0034627166253253,29.721837520599365
DLinear,Neuralforecast,ftsfr_CDS_portfolio_returns,20,ME,1,56,0.647098958492279,0.120973490178585,0.0004532324674073,0.0007142843096517,23.52696132659912
DLinear,Neuralforecast,ftsfr_CIP_spreads,8,ME,12,204,0.8218756318092346,0.4450397789478302,17.101591110229492,19.42075729370117,27.23527669906616
DLinear,Neuralforecast,ftsfr_CRSP_monthly_stock_ret,26474,ME,1,17,1.6602330978947504,1.4377183567966172,0.2216755076996957,0.2216755076996957,58.07416987419128
DLinear,Neuralforecast,ftsfr_CRSP_monthly_stock_retx,26474,ME,1,17,1.6519899273862932,4.938951146091172,0.2201020898598649,0.2201021402189047,59.06311011314392
DLinear,Neuralforecast,ftsfr_FX_returns,9,ME,1,380,19.75233268737793,1.292701005935669,1.8948628902435305,2.370232105255127,29.391781330108643
DLinear,Neuralforecast,ftsfr_cjs_option_returns,54,D,1,1748,1.2032181024551392,0.7025315165519714,0.0216755177825689,0.0382315628230571,151.23949360847473
DLinear,Neuralforecast,ftsfr_commodities_returns,4,ME,1,112,1.0303114652633667,1.6744153499603271,0.0710413753986358,0.091417521238327,15.095614194869995
DLinear,Neuralforecast,ftsfr_corp_bond_portfolio_returns,10,ME,1,49,1.155612230300903,1.5233070850372314,0.0176957268267869,0.0250070728361606,18.458120346069336
DLinear,Neuralforecast,ftsfr_corp_bond_returns,22146,ME,1,7,1.4998044961422272,1.9749040659699544,0.0457690683502323,0.0467208573274718,102.2121844291687
DLinear,Neuralforecast,ftsfr_french_portfolios_25_daily_size_and_bm,25,D,1,7232,0.99228698015213,1.388888955116272,0.0104893837124109,0.015354654751718,1957.6548159122467
DLinear,Neuralforecast,ftsfr_he_kelly_manela_all,4,MS,1,104,4.235925674438477,0.9338141679763794,67.94831848144531,104.71272277832033,23.491992950439453
DLinear,Neuralforecast,ftsfr_he_kelly_manela_factors_daily,4,B,1,1384,5.015681266784668,4.485031127929688,19.07113075256348,22.52637481689453,23.233123540878296
DLinear,Neuralforecast,ftsfr_he_kelly_manela_factors_monthly,4,MS,1,118,3.096684455871582,0.6042371392250061,70.94869995117188,81.5988998413086,17.683250665664673
DLinear,Neuralforecast,ftsfr_hkm_option_returns,18,D,1,1748,1.3745484352111816,0.7032101154327393,0.0187811162322759,0.0321763306856155,93.58657670021056
DLinear,Neuralforecast,ftsfr_nyu_call_report_cash_liquidity,23816,QE,4,13,1.7618026419431585,0.2113415544088648,0.0385358781644509,0.0444047715928819,112.61489176750185
DLinear,Neuralforecast,ftsfr_nyu_call_report_holding_company_cash_liquidity,13279,QE,4,9,1.4594595107375798,0.1985064529558701,0.0313322441530929,0.0347608661042826,46.13552689552307
DLinear,Neuralforecast,ftsfr_nyu_call_report_holding_company_leverage,13270,QE,4,9,1.2577264443259089,0.0527346333364232,1.0054452913587637,1.0811298337539896,47.03985786437988
DLinear,Neuralforecast,ftsfr_nyu_call_report_leverage,22927,QE,4,13,1.3618729622568524,0.0600368024183521,1.129141712947613,1.2497815470269673,105.6264100074768
DLinear,Neuralforecast,ftsfr_tips_treasury_basis,4,ME,12,51,0.977201759815216,0.4305063784122467,16.01943016052246,20.10234832763672,14.840572834014893
DLinear,Neuralforecast,ftsfr_treas_bond_portfolio_returns,10,ME,1,134,0.5782968401908875,2.833165645599365,0.0046123312786221,0.006289679557085,26.49347424507141
DLinear,Neuralforecast,ftsfr_treas_bond_returns,1951,ME,1,7,0.4539324045181274,10.500298500061035,0.011992079205811,0.0126716624945402,27.792437314987183
DLinear,Neuralforecast,ftsfr_treas_yield_curve_zero_coupon,30,B,5,4687,8.95579719543457,0.2320984899997711,0.994282066822052,1.2938770055770874,1655.184093952179
DeepAR,Neuralforecast,ftsfr_CDS_bond_basis_non_aggregated,3314,ME,12,6,0.8448800130783458,0.3007175664233554,6.585195747910032,6.621146621218153,232.1919949054718
DeepAR,Neuralforecast,ftsfr_CDS_contract_returns,6388,ME,1,6,0.809178499995914,0.5844602066103883,0.0113935819729601,0.0114364215020854,104.38507914543152
DeepAR,Neuralforecast,ftsfr_CDS_portfolio_returns,20,ME,1,56,0.6424961090087891,0.119590476155281,0.0004522209055721,0.0007059937343001,56.92728567123413
DeepAR,Neuralforecast,ftsfr_CIP_spreads,8,ME,12,204,1.101659059524536,0.4428186416625976,23.980541229248047,27.94661903381348,223.45811104774475
DeepAR,Neuralforecast,ftsfr_CRSP_monthly_stock_ret,26474,ME,1,17,1.4820112473893874,1.832753600067038,0.2140515771242651,0.2140515267652253,136.5939929485321
DeepAR,Neuralforecast,ftsfr_CRSP_monthly_stock_retx,26474,ME,1,17,1.474676251804868,3.029775084442038,0.2128458306340888,0.2128458558136087,141.94447708129883
DeepAR,Neuralforecast,ftsfr_FX_returns,9,ME,1,380,18.28193473815918,0.8254191875457764,1.7153363227844238,2.097176313400269,94.39358067512512
DeepAR,Neuralforecast,ftsfr_cjs_option_returns,54,D,1,1748,1.3029837608337402,0.7182530164718628,0.0226415041834115,0.0391050167381763,114.7620358467102
DeepAR,Neuralforecast,ftsfr_commodities_returns,4,ME,1,112,5.998885154724121,1.0449618101119995,0.3905844986438751,0.396454393863678,42.345189571380615
DeepAR,Neuralforecast,ftsfr_corp_bond_portfolio_returns,10,ME,1,49,1.1891863346099854,1.272374987602234,0.0181444007903337,0.0253602527081966,75.29674577713013
DeepAR,Neuralforecast,ftsfr_corp_bond_returns,22146,ME,1,7,1.1063334745128457,1.0962037381953516,0.0331755807761556,0.0350837234108374,178.31775641441345
DeepAR,Neuralforecast,ftsfr_french_portfolios_25_daily_size_and_bm,25,D,1,7232,1.020744562149048,1.0405137538909912,0.0107699045911431,0.0155400689691305,152.1387312412262
DeepAR,Neuralforecast,ftsfr_he_kelly_manela_all,4,MS,1,104,4.389683246612549,2.6140153408050537,72.31497955322266,107.3865966796875,51.15084457397461
DeepAR,Neuralforecast,ftsfr_he_kelly_manela_factors_daily,4,B,1,1384,5.148476123809815,2.189814329147339,20.0494384765625,23.61386108398437,69.76130294799805
DeepAR,Neuralforecast,ftsfr_he_kelly_manela_factors_monthly,4,MS,1,118,6.383307933807373,0.6658327579498291,125.81763458251952,132.13619995117188,47.950193643569946
DeepAR,Neuralforecast,ftsfr_hkm_option_returns,18,D,1,1748,1.4389666318893433,0.7292397022247314,0.0194796845316886,0.0325762592256069,100.11873197555542
DeepAR,Neuralforecast,ftsfr_nyu_call_report_cash_liquidity,23816,QE,4,13,1.7940844626093106,0.2131281513899605,0.0393099346605675,0.0447526625645013,187.8434031009674
DeepAR,Neuralforecast,ftsfr_nyu_call_report_holding_company_cash_liquidity,13279,QE,4,9,1.4162363882962117,0.1881306119141167,0.030570437568709,0.0335463037631129,119.48869037628174
DeepAR,Neuralforecast,ftsfr_nyu_call_report_holding_company_leverage,13270,QE,4,9,1.9428031978559532,0.0793177011507337,1.6105949577608938,1.6566924752376493,115.61768460273744
DeepAR,Neuralforecast,ftsfr_nyu_call_report_leverage,22927,QE,4,13,3.663258109526968,0.1378217108580625,3.128205473585323,3.200586455570292,181.30439376831052
DeepAR,Neuralforecast,ftsfr_tips_treasury_basis,4,ME,12,51,3.493931770324707,0.634937584400177,60.59576416015625,61.57154083251953,91.66788101196288
DeepAR,Neuralforecast,ftsfr_treas_bond_portfolio_returns,10,ME,1,134,0.6005879044532776,1.3091436624526978,0.004957053810358,0.0067436126992106,42.08813118934631
DeepAR,Neuralforecast,ftsfr_treas_bond_returns,1951,ME,1,7,0.3875905871391296,0.8124022483825684,0.0107793202623724,0.01242839358747,88.2647430896759
DeepAR,Neuralforecast,ftsfr_treas_yield_curve_zero_coupon,30,B,5,4687,8.838704109191895,0.227838858962059,0.9811516404151917,1.2804611921310425,131.92006659507751
KAN,Neuralforecast,ftsfr_CDS_bond_basis_non_aggregated,3314,ME,12,6,0.4613606483270759,0.212985287806031,1.7913103042894107,1.85263255902916,43.31033372879028
KAN,Neuralforecast,ftsfr_CDS_contract_returns,6388,ME,1,6,0.2542028706442861,0.1965416944176582,0.0026007898183048,0.0026522044357395,49.34288930892944
KAN,Neuralforecast,ftsfr_CDS_portfolio_returns,20,ME,1,56,0.6668907403945923,0.1250459849834442,0.0004680472775362,0.0007286370382644,20.511966943740845
KAN,Neuralforecast,ftsfr_CIP_spreads,8,ME,12,204,2.194047689437866,0.5173327326774597,46.463260650634766,50.474891662597656,42.57539868354797
