,index,KW1 Comdty_PX_LAST,KW2 Comdty_PX_LAST,KW3 Comdty_PX_LAST,SI3 Comdty_PX_LAST
0,1970-01-05,137.375,135.5,131.75,
1,1970-01-06,138.25,136.75,132.625,
2,1970-01-07,139.125,136.75,132.875,
3,1970-01-08,139.5,137.25,133.125,
4,1970-01-09,139.0,136.375,132.875,
5,1970-01-12,139.25,136.375,132.625,
6,1970-01-13,139.125,135.875,132.625,
7,1970-01-14,139.125,135.5,132.125,
8,1970-01-15,139.75,135.875,132.25,
9,1970-01-16,139.5,135.5,131.75,
10,1970-01-19,139.875,135.625,132.0,
11,1970-01-20,140.5,136.0,132.625,
12,1970-01-21,140.25,135.375,132.125,
13,1970-01-22,140.0,135.125,132.125,
14,1970-01-23,140.375,135.625,132.625,
15,1970-01-26,139.875,135.25,132.25,
16,1970-01-27,139.5,135.125,132.125,
17,1970-01-28,139.375,135.25,132.25,
18,1970-01-29,139.125,135.125,132.125,
19,1970-01-30,139.0,135.25,132.25,
20,1970-02-02,138.875,135.0,132.25,
21,1970-02-03,138.75,135.125,132.0,
22,1970-02-04,138.625,135.25,132.25,
23,1970-02-05,138.625,135.375,132.375,
24,1970-02-06,138.75,135.5,132.625,
25,1970-02-09,138.875,135.75,132.75,
26,1970-02-10,140.0,136.875,133.5,
27,1970-02-11,140.5,137.375,134.25,
28,1970-02-12,140.125,136.875,134.0,
29,1970-02-13,140.0,137.0,133.75,
30,1970-02-16,140.5,137.375,134.625,
31,1970-02-17,140.75,137.625,134.0,
32,1970-02-18,141.75,138.75,136.0,
33,1970-02-19,141.25,138.75,135.25,
34,1970-02-20,141.0,138.625,135.25,
35,1970-02-24,141.0,138.75,135.5,
36,1970-02-25,140.875,138.875,135.375,
37,1970-02-26,140.5,138.25,135.0,
38,1970-02-27,139.875,137.75,133.75,
39,1970-03-02,139.5,137.25,133.25,
40,1970-03-03,139.875,137.0,133.375,
41,1970-03-04,141.125,137.75,133.625,
42,1970-03-05,140.75,137.25,133.125,
43,1970-03-06,139.75,136.5,132.875,
44,1970-03-09,139.375,136.5,132.5,
45,1970-03-10,139.875,137.125,133.25,
46,1970-03-11,140.75,137.75,133.75,
47,1970-03-12,141.0,138.0,134.0,
48,1970-03-13,140.75,137.875,134.125,
49,1970-03-16,140.375,137.5,133.125,
50,1970-03-17,138.5,137.125,132.75,
51,1970-03-18,138.5,137.5,132.75,
52,1970-03-19,139.0,138.0,132.875,
53,1970-03-20,137.75,132.875,135.25,
54,1970-03-23,138.625,133.375,135.75,
55,1970-03-24,139.0,134.0,136.125,
56,1970-03-25,138.75,133.75,136.0,
57,1970-03-26,138.875,133.625,136.125,
58,1970-03-30,138.0,132.75,135.375,
59,1970-03-31,138.0,132.5,135.125,
60,1970-04-01,138.25,132.375,135.125,
61,1970-04-02,138.625,132.375,135.0,
62,1970-04-03,138.875,132.5,135.25,
63,1970-04-06,139.75,133.25,135.625,
64,1970-04-07,140.0,133.5,136.0,
65,1970-04-08,139.75,133.625,136.0,
66,1970-04-09,139.625,133.5,135.875,
67,1970-04-10,139.5,133.5,135.875,
68,1970-04-13,139.625,133.125,135.5,
69,1970-04-14,140.0,133.625,136.0,
70,1970-04-15,140.25,133.875,136.25,
71,1970-04-16,140.875,134.25,136.625,
72,1970-04-17,139.875,133.875,136.25,
73,1970-04-20,139.5,133.375,135.625,
74,1970-04-21,139.875,133.375,135.75,
75,1970-04-22,140.0,133.5,135.75,
76,1970-04-23,140.75,133.625,136.25,
77,1970-04-24,141.125,134.875,137.25,
78,1970-04-27,141.375,135.25,137.5,
79,1970-04-28,141.5,135.375,137.5,
80,1970-04-29,141.0,134.875,137.375,
81,1970-04-30,139.5,134.0,136.625,
82,1970-05-01,139.5,134.25,136.625,
83,1970-05-04,139.375,133.75,136.0,
84,1970-05-05,139.0,133.125,135.5,
85,1970-05-06,137.25,131.75,134.125,
86,1970-05-07,136.875,131.0,133.5,
87,1970-05-08,137.0,131.0,133.375,
88,1970-05-11,136.75,130.75,133.125,
89,1970-05-12,137.25,131.0,133.625,
90,1970-05-13,136.75,131.125,133.75,
91,1970-05-14,136.75,130.375,132.875,
92,1970-05-15,137.5,130.25,132.625,
93,1970-05-18,138.375,130.375,132.875,
94,1970-05-19,139.875,130.5,132.75,
95,1970-05-20,130.5,132.375,135.375,
96,1970-05-21,131.5,133.75,136.625,
97,1970-05-22,131.5,133.5,136.375,
98,1970-05-25,130.875,133.0,135.875,
99,1970-05-26,130.125,131.75,134.75,
100,1970-05-27,129.75,131.625,134.5,
101,1970-05-28,129.375,131.5,134.75,
102,1970-06-01,129.25,131.125,134.125,
103,1970-06-02,129.125,131.125,134.125,
104,1970-06-03,129.375,131.375,134.5,
105,1970-06-04,129.0,131.0,134.125,
106,1970-06-05,128.0,130.125,133.25,
107,1970-06-08,128.0,130.125,133.375,
108,1970-06-09,128.75,130.75,134.0,
109,1970-06-10,129.75,131.75,135.25,
110,1970-06-11,131.125,133.375,136.75,
111,1970-06-12,132.5,134.625,138.25,
112,1970-06-15,132.0,133.75,137.75,
113,1970-06-16,130.875,133.125,137.0,
114,1970-06-17,130.0,132.25,136.25,
115,1970-06-18,130.5,132.375,136.25,
116,1970-06-19,130.25,132.625,136.75,
117,1970-06-22,129.75,132.375,136.25,
118,1970-06-23,130.75,133.25,137.25,
119,1970-06-24,131.25,133.5,137.5,
120,1970-06-25,132.875,135.0,139.0,
121,1970-06-26,131.625,133.625,137.5,
122,1970-06-29,132.875,135.0,138.5,
123,1970-06-30,130.5,133.375,137.5,
124,1970-07-01,129.75,132.625,136.5,
125,1970-07-02,128.875,132.375,136.375,
126,1970-07-06,129.75,132.875,136.875,
127,1970-07-07,130.75,133.875,138.0,
128,1970-07-08,132.375,135.0,139.625,
129,1970-07-09,132.25,135.375,139.375,
130,1970-07-10,132.0,134.5,138.5,
131,1970-07-13,131.875,134.75,139.0,
132,1970-07-14,131.25,134.125,138.5,
133,1970-07-15,131.625,134.0,138.625,
134,1970-07-16,131.625,134.25,138.375,
135,1970-07-17,131.0,134.625,138.625,
136,1970-07-20,132.0,134.375,138.5,
137,1970-07-21,131.75,134.125,138.5,
138,1970-07-22,132.0,135.0,139.375,
139,1970-07-23,136.75,141.125,144.625,
140,1970-07-24,136.75,141.5,144.75,
141,1970-07-27,138.0,142.75,145.625,
142,1970-07-28,136.0,140.625,143.125,
143,1970-07-29,136.75,141.125,143.875,
144,1970-07-30,137.5,141.5,144.25,
145,1970-07-31,138.25,142.125,144.375,
146,1970-08-03,138.625,142.5,145.0,
147,1970-08-04,138.5,142.375,144.875,
148,1970-08-05,137.5,141.5,143.75,
149,1970-08-06,137.25,141.375,144.0,
150,1970-08-07,137.125,141.125,144.0,
151,1970-08-10,137.875,142.0,144.5,
152,1970-08-11,139.0,143.0,145.375,
153,1970-08-12,140.5,144.75,147.0,
154,1970-08-13,141.875,145.75,148.375,
155,1970-08-14,142.125,146.5,150.0,
156,1970-08-17,152.0,156.5,160.0,
157,1970-08-18,142.625,147.75,151.5,
158,1970-08-19,146.875,152.0,156.25,
159,1970-08-20,145.25,150.75,154.875,
160,1970-08-21,143.875,149.5,154.25,
161,1970-08-24,146.125,151.625,156.0,
162,1970-08-25,148.375,153.75,158.25,
163,1970-08-26,147.5,153.25,157.75,
164,1970-08-27,148.875,154.25,159.5,
165,1970-08-28,151.0,156.5,162.0,
166,1970-08-31,148.375,155.5,160.625,
167,1970-09-01,148.25,154.25,159.25,
168,1970-09-02,149.25,154.125,158.75,
169,1970-09-03,151.0,156.0,160.5,
170,1970-09-04,152.75,156.125,160.5,
171,1970-09-08,152.75,157.25,161.125,
172,1970-09-09,154.0,158.875,163.0,
173,1970-09-10,156.0,159.75,163.625,
174,1970-09-11,156.0,160.25,164.5,
175,1970-09-14,156.25,160.25,164.375,
176,1970-09-15,156.5,159.875,164.0,
177,1970-09-16,155.75,159.375,163.625,
178,1970-09-17,152.625,155.625,160.25,
179,1970-09-18,153.0,157.5,161.875,
180,1970-09-21,154.625,156.625,161.0,
181,1970-09-22,158.375,162.875,162.75,
182,1970-09-23,158.375,162.75,163.0,
183,1970-09-24,158.25,162.5,163.0,
184,1970-09-25,158.25,162.25,162.375,
185,1970-09-28,158.125,162.125,162.25,
186,1970-09-29,157.5,161.5,161.5,
187,1970-09-30,157.125,161.125,161.25,
188,1970-10-01,156.875,160.625,160.625,
189,1970-10-02,157.5,161.5,161.5,
190,1970-10-05,159.125,163.5,163.5,
191,1970-10-06,158.625,163.5,163.5,
192,1970-10-07,159.0,164.0,163.875,
193,1970-10-08,159.625,164.625,164.625,
194,1970-10-09,159.125,164.25,164.25,
195,1970-10-12,160.375,165.125,165.25,
196,1970-10-13,159.125,164.0,163.75,
197,1970-10-14,159.0,164.0,163.625,
198,1970-10-15,159.5,164.375,164.0,
199,1970-10-16,159.75,164.75,164.5,
200,1970-10-19,159.375,164.25,164.0,
201,1970-10-20,159.0,163.5,163.75,
202,1970-10-21,159.0,163.5,162.625,
203,1970-10-22,160.25,164.75,164.875,
204,1970-10-23,161.25,166.25,166.375,
205,1970-10-26,160.25,165.5,165.75,
206,1970-10-27,160.0,165.5,165.875,
207,1970-10-28,159.5,165.25,165.5,
208,1970-10-29,159.5,165.0,165.5,
209,1970-10-30,159.125,164.75,165.25,
210,1970-11-02,159.25,164.875,165.375,
211,1970-11-04,160.375,166.125,166.25,
212,1970-11-05,161.375,167.375,167.75,
213,1970-11-06,160.625,166.5,167.5,
214,1970-11-09,160.875,166.75,167.5,
215,1970-11-10,160.75,166.625,167.5,
216,1970-11-11,160.5,166.625,167.5,
217,1970-11-12,160.0,166.375,167.25,
218,1970-11-13,159.875,166.125,166.75,
219,1970-11-16,156.25,163.0,164.75,
220,1970-11-17,156.375,162.75,163.25,
221,1970-11-18,156.0,162.5,163.25,
222,1970-11-19,155.5,161.75,162.625,
223,1970-11-20,156.25,162.125,162.75,
224,1970-11-23,156.625,162.5,162.875,
225,1970-11-24,155.25,161.25,161.25,
226,1970-11-25,154.5,160.5,160.75,
227,1970-11-27,154.125,160.375,160.625,
228,1970-11-30,153.5,159.875,160.625,
229,1970-12-01,154.5,160.875,161.375,
230,1970-12-02,155.5,161.0,161.5,
231,1970-12-03,155.625,161.625,162.125,
232,1970-12-04,156.0,161.5,161.875,
233,1970-12-07,155.5,161.0,161.375,
234,1970-12-08,155.375,160.375,160.75,
235,1970-12-09,153.375,158.375,158.375,
236,1970-12-10,151.5,156.75,157.75,
237,1970-12-11,152.375,157.5,158.375,
238,1970-12-14,150.25,155.375,155.875,
239,1970-12-15,151.0,156.25,157.0,
240,1970-12-16,153.5,157.125,157.75,
241,1970-12-17,152.875,156.875,157.25,
242,1970-12-18,154.5,157.125,157.5,
243,1970-12-21,153.25,156.375,156.25,
244,1970-12-22,155.75,155.75,149.625,
245,1970-12-23,156.0,156.0,149.875,
246,1970-12-24,156.875,156.75,151.5,
247,1970-12-28,156.875,156.875,152.25,
248,1970-12-29,156.25,156.375,152.0,
249,1970-12-30,154.5,154.875,150.75,
250,1970-12-31,154.625,155.125,152.0,
251,1971-01-04,154.75,155.375,151.5,
252,1971-01-05,155.375,156.375,152.25,
253,1971-01-06,154.625,155.5,151.25,
254,1971-01-07,154.625,155.5,151.5,
255,1971-01-08,154.75,155.875,152.0,
256,1971-01-11,155.625,156.625,152.0,
257,1971-01-12,155.25,156.125,152.375,
258,1971-01-13,155.25,156.0,152.25,
259,1971-01-14,155.0,155.75,152.25,
260,1971-01-15,155.0,155.5,152.125,
261,1971-01-18,154.375,154.5,152.125,
262,1971-01-19,153.625,154.375,152.125,
263,1971-01-20,153.75,154.625,152.5,
264,1971-01-21,153.625,154.25,152.5,
265,1971-01-22,153.375,154.375,152.375,
266,1971-01-25,151.875,152.0,150.5,
267,1971-01-26,151.125,151.75,150.125,
268,1971-01-27,151.5,151.875,150.0,
269,1971-01-28,152.0,152.375,149.75,
270,1971-01-29,152.5,152.25,149.625,
271,1971-02-01,152.5,152.0,149.625,
272,1971-02-02,153.0,152.75,150.75,
273,1971-02-03,153.0,152.625,150.625,
274,1971-02-04,153.125,152.125,149.875,
275,1971-02-05,153.25,152.0,150.0,
276,1971-02-08,153.625,152.625,150.25,
277,1971-02-09,153.625,152.0,149.625,
278,1971-02-10,153.0,151.125,148.5,
279,1971-02-11,151.75,150.875,148.0,
